ID,Date/Time,Categoria,Publicacion,Hora,Lat,Lon
117.0,,Robo,Jueves,3:00,18.82591902877696,-97.24327474820146
118.0,11/5/2016,Enfrentamiento,Domingo,8:30,18.82591902877696,-97.24327474820146
119.0,11/3/2016,Robo,Lunes,21:00,18.82591902877696,-97.24327474820146
120.0,,Robo,Jueves,3:00,18.82591902877696,-97.24327474820146
121.0,11/12/2016,Enfrentamiento,Domingo,10:30,18.82591902877696,-97.24327474820146
122.0,11/16/2016,Robo,Jueves,21:00,18.829573,-97.2559
123.0,11/12/2016,Robo,Viernes,17:00,18.82591902877696,-97.24327474820146
124.0,11/23/2016,Robo,Jueves,5:00,18.82591902877696,-97.24327474820146
125.0,11/23/2016,Robo,Sábado,7:00,18.82591902877696,-97.24327474820146
126.0,11/28/2016,Robo,Jueves,21:00,18.816412,-97.234309
127.0,11/28/2016,Robo,Viernes,18:00,18.82591902877696,-97.24327474820146
128.0,12/1/2016,Robo,Sábado,17:00,18.823210999999997,-97.247864
129.0,11/29/2016,Robo,Sábado,20:20,18.829573,-97.2559
130.0,12/4/2016,Robo,Jueves,21:00,18.816412,-97.234309
131.0,12/4/2016,Robo,Martes,3:00,18.829573,-97.2559
132.0,12/14/2016,Robo,Sábado,21:00,18.816412,-97.234309
133.0,12/18/2016,Robo,Lunes,13:00,18.82591902877696,-97.24327474820146
134.0,12/21/2016,Robo,Jueves,0:00,18.816412,-97.234309
135.0,12/20/2016,Robo,Jueves,3:00,18.82591902877696,-97.24327474820146
136.0,12/21/2016,Robo,Sábado,0:20,18.855848,-97.277511
137.0,12/27/2016,Robo,Miércoles,3:00,18.82591902877696,-97.24327474820146
138.0,,Robo,Miércoles,3:00,18.82591902877696,-97.24327474820146
139.0,1/4/2017,Robo,Jueves,3:00,18.82591902877696,-97.24327474820146
140.0,1/2/2017,Robo,Sábado,20:00,18.816412,-97.234309
141.0,,Robo,Sábado,3:00,18.82591902877696,-97.24327474820146
142.0,1/6/2017,Robo,Domingo,2:00,18.816412,-97.234309
143.0,1/7/2017,Robo,Martes,3:00,18.823210999999997,-97.247864
144.0,1/10/2017,Ejecución,Miércoles,3:00,18.823210999999997,-97.247864
145.0,1/10/2017,Robo,Viernes,21:00,18.82591902877696,-97.24327474820146
146.0,1/13/2017,Robo,Domingo,21:00,18.82591902877696,-97.24327474820146
147.0,1/14/2017,Robo,Lunes,3:00,18.82591902877696,-97.24327474820146
148.0,1/16/2017,Robo,Miércoles,3:00,18.82591902877696,-97.24327474820146
149.0,1/16/2017,Asalto,Miércoles,1:00,18.816412,-97.234309
150.0,1/19/2017,Robo,Viernes,9:00,18.82591902877696,-97.24327474820146
151.0,1/17/2017,Robo,Viernes,20:45,18.82591902877696,-97.24327474820146
152.0,1/19/2017,Robo,Viernes,6:50,18.816412,-97.234309
153.0,1/15/2017,Robo,Miércoles,5:50,18.82591902877696,-97.24327474820146
154.0,1/25/2017,Robo,Viernes,21:00,18.829573,-97.2559
155.0,1/26/2017,Robo,Sábado,2:20,18.816412,-97.234309
156.0,1/25/2017,Robo,Sábado,13:15,18.82591902877696,-97.24327474820146
157.0,1/27/2017,Robo,Domingo,17:00,18.82591902877696,-97.24327474820146
158.0,1/28/2017,Robo,Domingo,8:00,18.823210999999997,-97.247864
159.0,1/31/2017,Ejecución,Miércoles,21:00,18.82591902877696,-97.24327474820146
